0.9375,0.86
0.0625,0.23
--pos--
0.0625,0.32,75,75
0.0625,0.41,75,75
0.0625,0.50,75,75
0.0625,0.59,75,75
0.0625,0.68,75,75
0.0625,0.77,75,75
0.0625,0.86,75,75
0.1875,0.23,75,75
0.3125,0.23,75,75
0.4375,0.23,75,75
0.5625,0.23,75,75
0.6875,0.23,75,75
0.8125,0.23,75,75
0.8125,0.32,75,75
0.8125,0.41,75,75
0.8125,0.50,75,75
0.8125,0.59,75,75
0.6875,0.59,75,75
0.5625,0.59,75,75
0.3125,0.41,75,75
0.4375,0.41,75,75
0.5625,0.41,75,75
0.3125,0.50,75,75
0.3125,0.59,75,75
0.3125,0.68,75,75
0.3125,0.77,75,75
0.4375,0.77,75,75
0.5625,0.77,75,75
0.6875,0.77,75,75
0.8125,0.77,75,75
0.9375,0.77,75,75
--col--
0.5,0.23,450,75
0.8125,0.41,75,225
0.6875,0.59,225,75
0.4375,0.41,225,75
0.3125,0.59,75,225
0.625,0.77,450,75
0.0625,0.59,75,525
